Sample ID,Latitude,Longitude,mtDNA Ance,Dist.to.HZcenter,Region,TotalClineDist,ClineCenterLoc,ScaledClineLocation,mtDNA
S16-1309,39.9289,-122.1362,native SVRF,157.1221127,SacramentoValley,631.78,421.85,0.91641412,1
S10-0120,39.9626,-122.1606,native SVRF,161.3059094,SacramentoValley,631.78,421.85,0.923036357,1
S10-0121,39.9626,-122.1606,native SVRF,161.3059094,SacramentoValley,631.78,421.85,0.923036357,1
S18-2043,39.9569,-122.1975,native SVRF,161.7903104,SacramentoValley,631.78,421.85,0.923803081,1
S15-0031,39.9832,-122.159,nonnative,163.4565402,SacramentoValley,631.78,421.85,0.926440438,0
S14-2257,39.9838,-122.1619,nonnative,163.5914031,SacramentoValley,631.78,421.85,0.926653903,0
S08-0763,39.9766,-122.2023,native SVRF,163.9986865,SacramentoValley,631.78,421.85,0.927298564,1
S15-1979,40.0051,-122.1399,nonnative,165.3354346,SacramentoValley,631.78,421.85,0.929414408,0
S16-0001,40.0128,-122.1448,nonnative,166.2722025,SacramentoValley,631.78,421.85,0.930897152,0
S15-1981,40.0132,-122.1454,nonnative,166.3289516,SacramentoValley,631.78,421.85,0.930986976,0
S09-0375,40.0676,-122.1749,native SVRF,172.8298251,SacramentoValley,631.78,421.85,0.94127675,1
S17-1551,40.0781,-122.1676,native SVRF,173.7784967,SacramentoValley,631.78,421.85,0.942778335,1
S15-0197,40.0996,-122.1511,native SVRF,175.7016013,SacramentoValley,631.78,421.85,0.945822282,1
S07-0166,40.0845,-122.2296,native SVRF,175.9778505,SacramentoValley,631.78,421.85,0.946259537,1
S15-1976,40.1093,-122.1633,native SVRF,177.0153043,SacramentoValley,631.78,421.85,0.94790165,1
S16-1303,40.1372,-122.1905,nonnative,180.6245799,SacramentoValley,631.78,421.85,0.953614518,0
S12-0677,40.1691,-122.1215,native SVRF,182.5419859,SacramentoValley,631.78,421.85,0.956649444,1
S18-2045,40.1724,-122.2609,native SVRF,186.0888337,SacramentoValley,631.78,421.85,0.9622635,1
S18-2046,40.1892,-122.197,native SVRF,186.3320512,SacramentoValley,631.78,421.85,0.962648471,1
S09-0779,40.3356,-122.3645,native SVRF,206.1787743,SacramentoValley,631.78,421.85,0.994062449,1
S10-0110,40.3357,-122.366,native SVRF,206.2288978,SacramentoValley,631.78,421.85,0.994141786,1
S09-0268,40.3438,-122.3546,native SVRF,206.7864034,SacramentoValley,631.78,421.85,0.995024223,1
S08-0301,40.3667,-122.285,nonnative,207.3376287,SacramentoValley,631.78,421.85,0.995896718,0
S09-0261,40.3532,-122.3436,native SVRF,207.3513978,SacramentoValley,631.78,421.85,0.995918513,1
S18-1389,40.3896,-122.179,nonnative,207.4887539,SacramentoValley,631.78,421.85,0.996135924,0
S18-1388,40.39,-122.178,native SVRF,207.5121063,SacramentoValley,631.78,421.85,0.996172887,1
S13-3026,40.3903,-122.2233,nonnative,208.4765286,SacramentoValley,631.78,421.85,0.997699403,0
S12-0817,40.3827,-122.3219,native SVRF,209.9325041,SacramentoValley,631.78,421.85,0.99999999,1
S13-1857,38.4322,-121.6982,native SVRF,1.128292921,SanJoaquinValley,631.78,421.85,0.665930715,1
S13-0612,38.6397,-121.1559,nonnative,3.443282932,SanJoaquinValley,631.78,421.85,0.662266481,0
S16-6030,38.5473,-121.5132,nonnative,4.315845057,SanJoaquinValley,631.78,421.85,0.660885363,0
MAM-1974,38.58,-121.26,nonnative,4.971478182,SanJoaquinValley,631.78,421.85,0.659847608,0
S10-0513,38.4981,-121.4468,nonnative,7.373785927,SanJoaquinValley,631.78,421.85,0.656045165,0
MAM-2703,38.52,-121.5,nonnative,7.399962412,SanJoaquinValley,631.78,421.85,0.656003732,0
MAM-2705,38.52,-121.48,nonnative,7.722779387,SanJoaquinValley,631.78,421.85,0.655492767,0
S21-2032,38.4816,-121.5504,nonnative,8.504555724,SanJoaquinValley,631.78,421.85,0.654255349,0
MAM-2706,38.5,-121.48,nonnative,8.805751357,SanJoaquinValley,631.78,421.85,0.653778607,0
MAM-2704,38.5,-121.5,nonnative,9.60644804,SanJoaquinValley,631.78,421.85,0.652511241,0
MAM-1938,38.47,-121.24,nonnative,14.39267639,SanJoaquinValley,631.78,421.85,0.644935458,0
S16-1429,38.4312,-121.2892,nonnative,16.82783916,SanJoaquinValley,631.78,421.85,0.641081011,0
S16-1430,38.4312,-121.2892,nonnative,16.82783916,SanJoaquinValley,631.78,421.85,0.641081011,0
S18-3899,38.4907,-121.1617,nonnative,17.16123391,SanJoaquinValley,631.78,421.85,0.640553304,0
MAM-1937,38.41,-121.36,nonnative,17.16631619,SanJoaquinValley,631.78,421.85,0.640545259,0
S08-0241,38.4512,-121.1819,nonnative,20.57343177,SanJoaquinValley,631.78,421.85,0.635152376,0
S09-0438,38.4512,-121.1819,nonnative,20.57343177,SanJoaquinValley,631.78,421.85,0.635152376,0
S10-0697,38.4514,-121.1807,nonnative,20.57539698,SanJoaquinValley,631.78,421.85,0.635149266,0
s09-0280,38.3869,-121.2239,nonnative,23.24883415,SanJoaquinValley,631.78,421.85,0.63091767,0
s09-0440,38.3869,-121.2239,nonnative,23.24883415,SanJoaquinValley,631.78,421.85,0.63091767,0
S08-0239,38.3812,-121.2193,nonnative,23.98852552,SanJoaquinValley,631.78,421.85,0.629746865,0
S09-0433,38.3809,-121.2193,nonnative,24.01912548,SanJoaquinValley,631.78,421.85,0.629698431,0
S09-0434,38.3809,-121.2193,nonnative,24.01912548,SanJoaquinValley,631.78,421.85,0.629698431,0
S09-0436,38.3809,-121.2193,nonnative,24.01912548,SanJoaquinValley,631.78,421.85,0.629698431,0
S08-0234,38.3808,-121.2193,nonnative,24.02932706,SanJoaquinValley,631.78,421.85,0.629682283,0
S08-0235,38.3808,-121.2193,nonnative,24.02932706,SanJoaquinValley,631.78,421.85,0.629682283,0
S09-0781,38.333,-121.1568,nonnative,31.19585725,SanJoaquinValley,631.78,421.85,0.618338888,0
S09-0782,38.333,-121.1568,nonnative,31.19585725,SanJoaquinValley,631.78,421.85,0.618338888,0
S09-0785,38.333,-121.1568,nonnative,31.19585725,SanJoaquinValley,631.78,421.85,0.618338888,0
S09-0786,38.333,-121.1568,nonnative,31.19585725,SanJoaquinValley,631.78,421.85,0.618338888,0
S09-0788,38.333,-121.1568,nonnative,31.19585725,SanJoaquinValley,631.78,421.85,0.618338888,0
S09-0789,38.333,-121.1568,nonnative,31.19585725,SanJoaquinValley,631.78,421.85,0.618338888,0
S09-0790,38.333,-121.1568,nonnative,31.19585725,SanJoaquinValley,631.78,421.85,0.618338888,0
S09-0791,38.333,-121.1568,nonnative,31.19585725,SanJoaquinValley,631.78,421.85,0.618338888,0
S10-0690,38.333,-121.1564,nonnative,31.21259463,SanJoaquinValley,631.78,421.85,0.618312396,0
S10-0701,38.333,-121.1564,nonnative,31.21259463,SanJoaquinValley,631.78,421.85,0.618312396,0
S10-0568,38.2656,-121.3117,nonnative,33.96425185,SanJoaquinValley,631.78,421.85,0.613956992,0
S11-0227,38.4509,-120.919,nonnative,34.01304989,SanJoaquinValley,631.78,421.85,0.613879753,0
S14-0843,38.0567,-121.3031,nonnative,35.31845017,SanJoaquinValley,631.78,421.85,0.611813527,0
S16-1301,38.491,-120.8321,nonnative,35.77170421,SanJoaquinValley,631.78,421.85,0.611096103,0
REJ-1624,37.95,-121.29,nonnative,41.10274214,SanJoaquinValley,631.78,421.85,0.602657979,0
S14-0842,38.2225,-121.1474,nonnative,42.67303588,SanJoaquinValley,631.78,421.85,0.600172472,0
S18-7596,38.2042,-121.1832,nonnative,43.55873148,SanJoaquinValley,631.78,421.85,0.598770567,0
S08-0455,38.3474,-120.7731,nonnative,50.86882516,SanJoaquinValley,631.78,421.85,0.587199935,0
S20-1520,38.1742,-120.8369,nonnative,60.9672911,SanJoaquinValley,631.78,421.85,0.571215785,0
S15-0033,38.235,-120.5385,nonnative,73.93099177,SanJoaquinValley,631.78,421.85,0.550696458,0
EV40,37.152,-120.24,nonnative,168.183152,SanJoaquinValley,631.78,421.85,0.401511362,0
S13-2580,36.604,-120.579,nonnative,194.6644689,SanJoaquinValley,631.78,421.85,0.359595953,0
EV37,36.965,-120.03,nonnative,195.8904867,SanJoaquinValley,631.78,421.85,0.357655376,0
EV38,36.96,-120.03,nonnative,196.2586925,SanJoaquinValley,631.78,421.85,0.357072569,0
MAM-2076,36.93,-120.06,nonnative,196.5188437,SanJoaquinValley,631.78,421.85,0.356660794,0
FRC-027,36.8765,-119.7935,nonnative,231.9570085,SanJoaquinValley,631.78,421.85,0.300568222,0
FRC-087,36.3102,-119.5738,nonnative,276.0075042,SanJoaquinValley,631.78,421.85,0.2308438,0
MAM-2794,35.6142,-119.8668,nonnative,321.8388283,SanJoaquinValley,631.78,421.85,0.15830063,0
ESRP-5954,35.5387,-119.1861,nonnative,363.7165361,SanJoaquinValley,631.78,421.85,0.09201536,0
S14-0879,35.4707,-119.2611,nonnative,365.682886,SanJoaquinValley,631.78,421.85,0.088902963,0
FRC-061,35.2643,-119.4815,nonnative,373.1596006,SanJoaquinValley,631.78,421.85,0.077068599,0
S14-0851,35.4263,-119.1276,nonnative,376.8549935,SanJoaquinValley,631.78,421.85,0.071219422,0
ESRP-R005,35.4618,-119.0351,nonnative,378.8690691,SanJoaquinValley,631.78,421.85,0.068031484,0
ESRP-R011,35.4651,-119.0176,nonnative,379.5695952,SanJoaquinValley,631.78,421.85,0.06692267,0
ESRP-R003,35.4287,-119.0371,nonnative,381.6451576,SanJoaquinValley,631.78,421.85,0.063637409,0
V01-0197,35.459,-118.9737,nonnative,382.5905045,SanJoaquinValley,631.78,421.85,0.062141086,0
ESRP-R010,35.4434,-118.969,nonnative,384.2060066,SanJoaquinValley,631.78,421.85,0.059584022,0
MAM-2793,35.4077,-119.0128,nonnative,384.8397778,SanJoaquinValley,631.78,421.85,0.05858087,0
S14-0845,35.3554,-119.0558,nonnative,387.0631341,SanJoaquinValley,631.78,421.85,0.055061676,0
S14-0863,35.3157,-119.0924,nonnative,388.6102291,SanJoaquinValley,631.78,421.85,0.052612889,0
ESRP-R004,35.3749,-118.9868,nonnative,389.161966,SanJoaquinValley,631.78,421.85,0.051739583,0
ESRP-R008,35.3596,-118.9867,nonnative,390.5079623,SanJoaquinValley,631.78,421.85,0.049609101,0
S14-0848,35.3677,-118.9538,nonnative,391.6393849,SanJoaquinValley,631.78,421.85,0.047818252,0
S14-0844,35.333,-118.995,nonnative,392.385875,SanJoaquinValley,631.78,421.85,0.046636685,0
V02-1003,35.3228,-119.0043,nonnative,392.7729669,SanJoaquinValley,631.78,421.85,0.046023985,0
ESRP-R009,35.3019,-119.0238,nonnative,393.5559388,SanJoaquinValley,631.78,421.85,0.044784674,0
acvc-98-02,35.2885,-118.9874,nonnative,396.7343328,SanJoaquinValley,631.78,421.85,0.039753818,0
ESRP-R006,35.0783,-119.024,nonnative,413.3470056,SanJoaquinValley,631.78,421.85,0.01345879,0
ESRP-R007,35.0107,-118.979,nonnative,421.8469901,SanJoaquinValley,631.78,421.85,4.76E-06,0
