Sample ID,Latitude,Longitude,mtDNA Ance,Dist.to.HZcenter,Region,TotalClineDist,ClineCenterLoc,ScaledClineLocation,mtDNA
S16-1613,38.5307,-121.7751,native SVRF,10.01072758,SacramentoValley,631.78,421.85,0.683561885,1
S18-2073,38.5353,-121.7677,native SVRF,10.12732192,SacramentoValley,631.78,421.85,0.683746434,1
S20-0001,38.5379,-121.7682,native SVRF,10.40324174,SacramentoValley,631.78,421.85,0.684183168,1
S09-0805,38.5435,-121.7684,native SVRF,10.81721734,SacramentoValley,631.78,421.85,0.684838421,1
S08-0162,38.4286,-121.9519,native SVRF,10.92004311,SacramentoValley,631.78,421.85,0.685001176,1
S10-0312,38.4293,-121.9517,native SVRF,10.94013679,SacramentoValley,631.78,421.85,0.685032981,1
S21-0001,38.5399,-121.7797,nonnative,11.0894107,SacramentoValley,631.78,421.85,0.685269256,0
S12-0016,38.5464,-121.7682,native SVRF,11.09134972,SacramentoValley,631.78,421.85,0.685272325,1
S16-1417,38.7016,-121.4671,native SVRF,11.11304653,SacramentoValley,631.78,421.85,0.685306668,1
S16-1418,38.7016,-121.4671,native SVRF,11.11304653,SacramentoValley,631.78,421.85,0.685306668,1
S09-0272,38.4195,-121.9635,native SVRF,11.44339348,SacramentoValley,631.78,421.85,0.685829551,1
S10-0324,38.4202,-121.9651,native SVRF,11.60140128,SacramentoValley,631.78,421.85,0.68607965,1
S10-0325,38.4202,-121.9651,native SVRF,11.60140128,SacramentoValley,631.78,421.85,0.68607965,1
S09-0422,38.4201,-121.9669,native SVRF,11.7450881,SacramentoValley,631.78,421.85,0.686307082,1
S09-0498,38.4201,-121.9669,native SVRF,11.7450881,SacramentoValley,631.78,421.85,0.686307082,1
S18-2174,38.5446,-121.7978,native SVRF,12.40450224,SacramentoValley,631.78,421.85,0.687350822,1
S10-0311,38.4572,-121.9521,native SVRF,12.69758193,SacramentoValley,631.78,421.85,0.687814717,1
S17-1465,38.5478,-121.8043,native SVRF,13.02911058,SacramentoValley,631.78,421.85,0.68833947,1
S17-1466,38.5478,-121.8043,native SVRF,13.02911058,SacramentoValley,631.78,421.85,0.68833947,1
S14-0894,38.7482,-121.3233,native SVRF,13.2308146,SacramentoValley,631.78,421.85,0.688658733,1
S08-0752,38.6416,-121.7759,native SVRF,15.0102383,SacramentoValley,631.78,421.85,0.691475258,1
S20-4941,38.5526,-121.8403,native SVRF,15.51475359,SacramentoValley,631.78,421.85,0.692273819,1
S16-1410,38.5563,-121.839,native SVRF,15.72589426,SacramentoValley,631.78,421.85,0.692608019,1
S16-1481,38.5566,-121.8387,native SVRF,15.7315996,SacramentoValley,631.78,421.85,0.69261705,1
S16-1953,38.5566,-121.8387,native SVRF,15.7315996,SacramentoValley,631.78,421.85,0.69261705,1
S16-1954,38.5566,-121.8387,native SVRF,15.7315996,SacramentoValley,631.78,421.85,0.69261705,1
S16-1593,38.5592,-121.8403,native SVRF,16.03633509,SacramentoValley,631.78,421.85,0.693099394,1
S16-1594,38.5592,-121.8403,native SVRF,16.03633509,SacramentoValley,631.78,421.85,0.693099394,1
